Day_of_week,Age_band_of_driver,Sex_of_driver,Type_of_vehicle,Area_accident_oc cured,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
Tuesday,Under 18,Female,E-Bike,Highways,Double carriageway ,No junction,Moist,Daylight,Raining,2,1,Female,Overloading,Slight Injury
Tuesday,Over 51,Female,Public,Highways,Grass medians,No junction,Moist,Daylight,Raining,2,1,Male,Overtaking,Slight Injury
Saturday,18-30,Female,E-Bike,Highways,Grass medians,No junction,Dry,Daylight,Raining,1,1,Female,Overspeed,Serious Injury
Monday,31-50,Female,Public,Office areas,Grass medians,Crossing,Moist,Night,Raining,2,1,Male,Moving Backward,Slight Injury
Monday,31-50,Female,Public,Office areas,Grass medians,Crossing,Moist,Night,Raining,2,1,Female,Moving Backward,Slight Injury
Thursday,31-50,Female,E-Bike,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Raining,2,2,Female,Overloading,Slight Injury
Thursday,Under 18,Female,Train,Industrial areas,Grass medians,O Shape,Snow,Daylight,Raining,2,2,Male,Overspeed,Slight Injury
Thursday,Under 18,Female,E-Bike,Office areas,Grass medians,O Shape,Snow,Daylight,Raining,2,2,Male,Drunk driving,Slight Injury
Thursday,18-30,Female,Lorry,Highways,Grass medians,Y Shape,Snow,Daylight,Normal,2,1,Female,Drunk driving,Slight Injury
Thursday,18-30,Female,Aeroplane,Highways,Concrete barriers,Y Shape,Snow,Daylight,Normal,2,1,Male,Overloading,Slight Injury
Wednesday,Over 51,Female,Taxi,Residential areas,Grass medians,Y Shape,Snow,Daylight,Normal,1,1,Male,Overspeed,Slight Injury
Friday,Under 18,Female,Train,Office areas,Concrete barriers,Y Shape,Snow,Night,Cloudy,2,2,Male,No distancing,Slight Injury
Friday,18-30,Female,Aeroplane,Residential areas,Speed breaker,Y Shape,Snow,Night,Cloudy,2,2,Male,Overtaking,Slight Injury
Friday,18-30,Female,Taxi,Office areas,Concrete barriers,Y Shape,Snow,Night,Cloudy,2,2,Male,No distancing,Slight Injury
Thursday,31-50,Female,Train,Highways,Concrete barriers,No junction,Snow,Daylight,Normal,1,1,Female,No distancing,Slight Injury
Tuesday,18-30,Female,Train,Residential areas,Concrete barriers,O Shape,Snow,Night,Normal,2,2,Male,Overspeed,Serious Injury
Tuesday,18-30,Female,E-Bike,Market areas,Speed breaker,O Shape,Snow,Night,Normal,2,2,Male,Overtaking,Serious Injury
Saturday,18-30,Female,E-Bike,Market areas,Speed breaker,No junction,Snow,Daylight,Raining,2,1,Male,Overspeed,Slight Injury
Saturday,31-50,Female,Aeroplane,Highways,Grass medians,No junction,Snow,Daylight,Raining,2,1,Female,Drunk driving,Slight Injury
Saturday,Under 18,Female,Aeroplane,Market areas,Double carriageway ,No junction,Snow,Daylight,Raining,2,1,Female,Moving Backward,Slight Injury
Saturday,31-50,Female,E-Bike,Highways,Speed breaker,No junction,Snow,Daylight,Raining,2,1,Female,Drunk driving,Slight Injury
Thursday,31-50,Female,Taxi,Industrial areas,Grass medians,No junction,Snow,Daylight,Raining,2,2,Female,Drunk driving,Slight Injury
Thursday,Over 51,Female,Aeroplane,Highways,Concrete barriers,No junction,Snow,Daylight,Raining,2,2,Male,Overloading,Slight Injury
Friday,31-50,Female,Taxi,Office areas,Concrete barriers,No junction,Snow,Daylight,Raining,2,3,Female,Overtaking,Slight Injury
Friday,31-50,Female,Train,Highways,Concrete barriers,No junction,Snow,Daylight,Raining,2,3,Female,No distancing,Slight Injury
Friday,31-50,Female,E-Bike,Office areas,Double carriageway ,No junction,Dry,Daylight,Raining,2,3,Female,No distancing,Slight Injury
Sunday,31-50,Female,Aeroplane,Office areas,Double carriageway ,Y Shape,Dry,Daylight,Raining,1,1,Female,Overspeed,Serious Injury
Wednesday,Over 51,Female,E-Bike,Office areas,Double carriageway ,O Shape,Moist,Night,Raining,2,2,Male,Moving Backward,Slight Injury
Wednesday,31-50,Female,E-Bike,Residential areas,Double carriageway ,O Shape,Moist,Night,Raining,2,2,Female,Moving Backward,Slight Injury
Sunday,Under 18,Female,E-Bike,Office areas,Double carriageway ,Y Shape,Dry,Night,Raining,2,1,Male,Overspeed,Serious Injury
Sunday,31-50,Female,E-Bike,Highways,Grass medians,Y Shape,Flood,Night,Raining,2,1,Female,Overtaking,Serious Injury
Saturday,18-30,Female,Lorry,Industrial areas,One way,No junction,Flood,Night,Raining,1,3,Female,Overtaking,Serious Injury
Saturday,18-30,Female,Aeroplane,Highways,One way,No junction,Flood,Night,Raining,1,3,Female,Overspeed,Serious Injury
Saturday,18-30,Female,Taxi,Office areas,Double carriageway ,No junction,Flood,Night,Raining,1,3,Female,Overloading,Serious Injury
Thursday,18-30,Female,Taxi,Office areas,Concrete barriers,No junction,Flood,Daylight,Raining,2,1,Male,Overloading,Slight Injury
Thursday,31-50,Female,E-Bike,Highways,Double carriageway ,No junction,Flood,Daylight,Raining,2,1,Female,Overspeed,Slight Injury
Sunday,31-50,Female,Train,Highways,Concrete barriers,O Shape,Flood,Daylight,Raining,2,1,Female,Overtaking,Slight Injury
Sunday,Over 51,Female,E-Bike,Office areas,Double carriageway ,O Shape,Flood,Daylight,Raining,2,1,Female,Overloading,Slight Injury
Thursday,18-30,Female,Public,Office areas,Concrete barriers,No junction,Flood,Night,Raining,1,2,Male,Drunk driving,Serious Injury
Thursday,18-30,Female,Lorry,Office areas,Grass medians,No junction,Flood,Night,Normal,1,2,Female,Overspeed,Serious Injury
Thursday,Under 18,Female,Public,Highways,Grass medians,No junction,Dry,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Thursday,Under 18,Female,Aeroplane,Highways,Grass medians,No junction,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,Under 18,Female,Lorry,Industrial areas,Grass medians,Y Shape,Moist,Night,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,31-50,Female,Lorry,Highways,Grass medians,Y Shape,Moist,Night,Normal,2,1,Female,Overspeed,Slight Injury
Friday,Over 51,Female,Train,Industrial areas,Speed breaker,Crossing,Dry,Daylight,Normal,2,2,Male,Overtaking,Slight Injury
Friday,31-50,Female,Taxi,Market areas,Speed breaker,Crossing,Dry,Daylight,Normal,2,2,Female,Moving Backward,Slight Injury
Friday,31-50,Female,Taxi,Highways,Double carriageway ,Crossing,Dry,Daylight,Normal,2,2,Female,Overspeed,Slight Injury
Tuesday,18-30,Female,Lorry,Office areas,Concrete barriers,No junction,Moist,Daylight,Normal,1,1,Male,Drunk driving,Slight Injury
Saturday,31-50,Female,Lorry,Residential areas,One way,No junction,Dry,Daylight,Normal,2,1,Female,Overloading,Slight Injury
Saturday,Under 18,Female,E-Bike,Highways,One way,No junction,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Sunday,31-50,Female,Aeroplane,Highways,Grass medians,Crossing,Dry,Night,Normal,2,2,Female,Overloading,Slight Injury
Sunday,18-30,Female,Cycle,Industrial areas,One way,Crossing,Dry,Night,Normal,2,2,Male,Drunk driving,Slight Injury
Sunday,18-30,Female,Aeroplane,Highways,Speed breaker,Crossing,Dry,Night,Normal,2,2,Female,Moving Backward,Slight Injury
Thursday,Under 18,Female,E-Bike,Office areas,Speed breaker,No junction,Moist,Daylight,Cloudy,2,1,Female,Overspeed,Slight Injury
Thursday,Under 18,Female,Taxi,Office areas,Grass medians,No junction,Moist,Daylight,Cloudy,2,1,Female,No distancing,Slight Injury
Wednesday,Under 18,Female,E-Bike,Office areas,Double carriageway ,Y Shape,Moist,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Wednesday,31-50,Female,Public,Highways,Concrete barriers,Y Shape,Moist,Daylight,Normal,2,1,Female,Overtaking,Slight Injury
Saturday,31-50,Female,E-Bike,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,1,1,Male,Overspeed,Serious Injury
Monday,Under 18,Female,Aeroplane,Highways,Double carriageway ,Y Shape,Moist,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Monday,18-30,Female,Public,Industrial areas,Concrete barriers,Y Shape,Moist,Daylight,Normal,2,1,Male,No distancing,Slight Injury
Friday,Under 18,Female,Train,Residential areas,Speed breaker,Y Shape,Dry,Daylight,Cloudy,2,1,Female,Drunk driving,Slight Injury
Friday,Under 18,Female,Lorry,Highways,Concrete barriers,Y Shape,Dry,Daylight,Cloudy,2,1,Female,Overspeed,Slight Injury
Sunday,Under 18,Female,Lorry,Highways,One way,Y Shape,Moist,Night,Raining,2,1,Female,Overspeed,Slight Injury
Sunday,31-50,Female,Lorry,Highways,One way,Y Shape,Moist,Night,Raining,2,1,Male,Overloading,Slight Injury
Tuesday,Over 51,Female,E-Bike,Highways,Grass medians,Y Shape,Moist,Night,Normal,2,1,Male,Overspeed,Slight Injury
Tuesday,18-30,Female,Lorry,Highways,Concrete barriers,Y Shape,Moist,Night,Normal,2,1,Female,Overtaking,Slight Injury
Friday,Under 18,Female,Cycle,Residential areas,Speed breaker,Y Shape,Moist,Night,Snow,1,1,Female,Overspeed,Fatal injury
Monday,Over 51,Female,Public,Office areas,Concrete barriers,No junction,Dry,Daylight,Snow,2,1,Male,Overspeed,Serious Injury
Monday,31-50,Female,E-Bike,Office areas,Concrete barriers,No junction,Dry,Daylight,Snow,2,1,Female,Drunk driving,Serious Injury
Tuesday,Under 18,Female,Train,Highways,Concrete barriers,No junction,Moist,Night,Snow,1,1,Male,Overspeed,Slight Injury
Monday,Under 18,Female,E-Bike,Highways,One way,Y Shape,Dry,Daylight,Snow,2,2,Male,No distancing,Slight Injury
Monday,31-50,Female,Lorry,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Snow,2,2,Female,Overspeed,Slight Injury
Monday,31-50,Female,Aeroplane,Office areas,Grass medians,Y Shape,Dry,Daylight,Snow,2,2,Female,Drunk driving,Slight Injury
Saturday,31-50,Female,Taxi,Highways,Concrete barriers,Crossing,Dry,Daylight,Snow,2,3,Female,Overtaking,Slight Injury
Saturday,31-50,Female,Cycle,Highways,Concrete barriers,Crossing,Dry,Daylight,Snow,2,3,Male,No distancing,Slight Injury
Saturday,31-50,Female,Lorry,Residential areas,Concrete barriers,Crossing,Dry,Daylight,Snow,2,3,Male,Overspeed,Slight Injury
Saturday,Under 18,Female,E-Bike,Highways,Grass medians,O Shape,Dry,Daylight,Snow,2,1,Male,Overspeed,Slight Injury
Saturday,Over 51,Female,Public,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Saturday,Under 18,Female,E-Bike,Office areas,Grass medians,No junction,Moist,Daylight,Cloudy,2,1,Female,Overspeed,Slight Injury
Saturday,31-50,Female,Lorry,Highways,Grass medians,No junction,Moist,Daylight,Cloudy,2,1,Male,Overspeed,Slight Injury
Sunday,31-50,Female,Public,Highways,Concrete barriers,Y Shape,Moist,Night,Normal,3,3,Male,No distancing,Serious Injury
Sunday,31-50,Female,Aeroplane,Highways,Grass medians,Y Shape,Moist,Night,Normal,3,3,Female,Moving Backward,Serious Injury
Sunday,31-50,Female,Public,Office areas,Concrete barriers,Y Shape,Moist,Night,Normal,3,3,Female,No distancing,Serious Injury
Sunday,18-30,Female,Lorry,Office areas,Concrete barriers,Y Shape,Moist,Night,Normal,3,3,Male,Overtaking,Serious Injury
Sunday,Under 18,Female,E-Bike,Highways,Concrete barriers,Y Shape,Moist,Night,Normal,3,3,Male,Overtaking,Serious Injury
Tuesday,31-50,Female,Lorry,Highways,Speed breaker,Y Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Tuesday,31-50,Female,Train,Industrial areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Male,Moving Backward,Slight Injury
Thursday,18-30,Female,Taxi,Highways,Grass medians,O Shape,Moist,Night,Normal,2,2,Male,Overtaking,Slight Injury
Thursday,31-50,Female,E-Bike,Highways,Concrete barriers,O Shape,Moist,Night,Normal,2,2,Male,No distancing,Slight Injury
Thursday,31-50,Female,E-Bike,Office areas,Grass medians,No junction,Moist,Daylight,Cloudy,2,1,Female,Overspeed,Serious Injury
Thursday,18-30,Female,Cycle,Highways,One way,No junction,Moist,Daylight,Cloudy,2,1,Female,Overloading,Serious Injury
Thursday,18-30,Female,Aeroplane,Industrial areas,Grass medians,No junction,Moist,Daylight,Cloudy,1,1,Female,No distancing,Serious Injury
Friday,Over 51,Male,E-Bike,Highways,Concrete barriers,Crossing,Dry,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Friday,Over 51,Male,Public,Highways,Concrete barriers,Crossing,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,Under 18,Male,Public,Residential areas,Grass medians,Y Shape,Moist,Daylight,Snow,2,1,Female,Overspeed,Slight Injury
Thursday,Over 51,Male,E-Bike,Office areas,Concrete barriers,Y Shape,Moist,Daylight,Snow,2,1,Female,Overtaking,Slight Injury
Wednesday,18-30,Male,Public,Highways,Concrete barriers,O Shape,Moist,Daylight,Snow,2,1,Female,No distancing,Serious Injury
Wednesday,Over 51,Male,Public,Office areas,Grass medians,O Shape,Moist,Daylight,Snow,2,1,Male,Overspeed,Serious Injury
Tuesday,18-30,Male,Lorry,Office areas,Speed breaker,Y Shape,Dry,Daylight,Snow,2,1,Male,No distancing,Serious Injury
Tuesday,31-50,Male,E-Bike,Highways,One way,Y Shape,Dry,Daylight,Snow,2,1,Female,Overloading,Serious Injury
Friday,31-50,Male,Taxi,Residential areas,Grass medians,Crossing,Moist,Daylight,Snow,2,1,Male,Overtaking,Slight Injury
Friday,Over 51,Male,Taxi,Industrial areas,One way,Crossing,Moist,Daylight,Snow,2,1,Female,Overspeed,Slight Injury
Monday,Under 18,Female,Lorry,Highways,Grass medians,Y Shape,Moist,Night,Raining,1,1,Male,Moving Backward,Slight Injury
Friday,Over 51,Male,E-Bike,Highways,One way,O Shape,Dry,Daylight,Normal,1,1,Female,No distancing,Serious Injury
Sunday,18-30,Male,Train,Highways,Grass medians,No junction,Moist,Night,Cloudy,1,1,Male,Overtaking,Slight Injury
Tuesday,Under 18,Male,Aeroplane,Highways,Concrete barriers,Y Shape,Dry,Daylight,Normal,2,2,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,Cycle,Residential areas,Speed breaker,Y Shape,Dry,Daylight,Normal,2,2,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,Aeroplane,Market areas,Speed breaker,Y Shape,Dry,Daylight,Normal,2,2,Male,Moving Backward,Fatal injury
Friday,31-50,Male,E-Bike,Highways,Concrete barriers,No junction,Dry,Night,Normal,2,3,Female,Overspeed,Fatal injury
Friday,31-50,Male,E-Bike,Highways,Speed breaker,No junction,Dry,Night,Normal,2,3,Female,Drunk driving,Fatal injury
Friday,31-50,Male,Cycle,Highways,Concrete barriers,No junction,Dry,Night,Normal,2,3,Female,Overtaking,Fatal injury
Wednesday,18-30,Male,Public,Office areas,Grass medians,Crossing,Dry,Daylight,Cloudy,2,1,Female,No distancing,Fatal injury
Wednesday,Over 51,Male,E-Bike,Office areas,Concrete barriers,Crossing,Dry,Daylight,Cloudy,2,1,Female,No distancing,Fatal injury
Thursday,18-30,Male,Aeroplane,Highways,Grass medians,No junction,Moist,Foggy,Raining,2,1,Male,Overloading,Fatal injury
Thursday,18-30,Male,E-Bike,Market areas,Grass medians,No junction,Moist,Foggy,Raining,2,1,Male,Drunk driving,Fatal injury
Monday,Under 18,Male,Aeroplane,Highways,Grass medians,Crossing,Moist,Night,Raining,2,3,Female,Overloading,Fatal injury
Monday,31-50,Male,Lorry,Highways,Concrete barriers,Crossing,Moist,Night,Raining,2,3,Female,Overtaking,Fatal injury
Monday,31-50,Male,Taxi,Highways,Grass medians,Crossing,Moist,Night,Raining,2,3,Male,Moving Backward,Fatal injury
Monday,31-50,Male,Public,Highways,Double carriageway ,Crossing,Moist,Night,Raining,2,3,Male,No distancing,Fatal injury
Wednesday,18-30,Male,E-Bike,Highways,Concrete barriers,No junction,Moist,Night,Cloudy,3,1,Male,Overloading,Fatal injury
Wednesday,Over 51,Male,Taxi,Market areas,Concrete barriers,No junction,Moist,Night,Cloudy,3,1,Female,Moving Backward,Fatal injury
Wednesday,31-50,Male,E-Bike,Highways,Concrete barriers,No junction,Moist,Night,Cloudy,3,1,Male,No distancing,Fatal injury
Tuesday,Over 51,Male,Lorry,Highways,One way,Crossing,Moist,Night,Snow,1,1,Female,Drunk driving,Fatal injury
Sunday,Under 18,Male,E-Bike,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Male,Drunk driving,Fatal injury
Sunday,31-50,Male,Lorry,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,Moving Backward,Fatal injury
Saturday,Over 51,Male,Lorry,Residential areas,Concrete barriers,Y Shape,Moist,Daylight,Normal,3,3,Female,Moving Backward,Fatal injury
Saturday,31-50,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Daylight,Normal,3,3,Female,Overtaking,Fatal injury
Saturday,31-50,Male,Public,Residential areas,Concrete barriers,Y Shape,Moist,Daylight,Normal,3,3,Female,Overspeed,Fatal injury
Saturday,31-50,Male,E-Bike,Highways,Grass medians,Y Shape,Moist,Daylight,Normal,3,3,Female,Overtaking,Fatal injury
Friday,31-50,Male,Aeroplane,Residential areas,Double carriageway ,No junction,Moist,Daylight,Normal,2,2,Female,Drunk driving,Fatal injury
Friday,18-30,Male,Aeroplane,Office areas,Concrete barriers,No junction,Moist,Daylight,Normal,2,2,Female,No distancing,Fatal injury
Friday,18-30,Male,Aeroplane,Office areas,Concrete barriers,No junction,Moist,Daylight,Normal,2,2,Male,Moving Backward,Fatal injury
Friday,Under 18,Male,E-Bike,Office areas,Double carriageway ,No junction,Moist,Night,Raining,2,1,Female,Overtaking,Fatal injury
Friday,18-30,Male,Aeroplane,Industrial areas,Concrete barriers,No junction,Moist,Night,Raining,2,1,Male,Overloading,Fatal injury
Tuesday,Under 18,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Foggy,Normal,3,1,Male,No distancing,Fatal injury
Tuesday,18-30,Male,Public,Highways,Speed breaker,Y Shape,Moist,Foggy,Normal,3,1,Male,Drunk driving,Fatal injury
Tuesday,18-30,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Foggy,Snow,3,1,Female,Overloading,Fatal injury
Thursday,31-50,Male,Public,Highways,Double carriageway ,No junction,Dry,Daylight,Snow,1,1,Male,Overspeed,Fatal injury
Saturday,Over 51,Male,Lorry,Highways,Grass medians,O Shape,Moist,Night,Snow,2,1,Male,No distancing,Fatal injury
Saturday,Under 18,Male,Aeroplane,Office areas,Concrete barriers,O Shape,Moist,Night,Snow,2,1,Female,Drunk driving,Fatal injury
Saturday,Under 18,Female,Lorry,Office areas,Concrete barriers,Y Shape,Moist,Night,Snow,2,1,Female,No distancing,Fatal injury
Saturday,31-50,Male,Cycle,Office areas,One way,Y Shape,Moist,Night,Snow,2,1,Male,Overloading,Fatal injury
Thursday,Under 18,Male,Public,Residential areas,Double carriageway ,O Shape,Dry,Daylight,Snow,2,1,Male,No distancing,Fatal injury
Thursday,31-50,Male,Lorry,Industrial areas,Concrete barriers,O Shape,Dry,Daylight,Snow,2,1,Female,Overtaking,Fatal injury
Thursday,31-50,Male,Aeroplane,Highways,Double carriageway ,Y Shape,Dry,Daylight,Snow,2,1,Male,Overspeed,Fatal injury
Thursday,Over 51,Male,Aeroplane,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Female,Overloading,Fatal injury
Saturday,18-30,Male,E-Bike,Highways,Concrete barriers,Y Shape,Dry,Daylight,Cloudy,1,1,Male,Overspeed,Fatal injury
Tuesday,Under 18,Female,Lorry,Residential areas,Speed breaker,Y Shape,Moist,Daylight,Raining,1,1,Female,No distancing,Fatal injury
Sunday,18-30,Male,Taxi,Market areas,Speed breaker,No junction,Dry,Daylight,Normal,3,1,Male,Overspeed,Fatal injury
Sunday,Over 51,Male,E-Bike,Office areas,Concrete barriers,No junction,Dry,Daylight,Raining,3,1,Female,Overspeed,Fatal injury
Sunday,Under 18,Male,Cycle,Highways,Speed breaker,No junction,Dry,Daylight,Raining,3,1,Female,Overspeed,Fatal injury
Sunday,Under 18,Male,Aeroplane,Highways,Concrete barriers,No junction,Dry,Daylight,Raining,3,1,Female,Overtaking,Fatal injury
Wednesday,Under 18,Male,E-Bike,Office areas,Concrete barriers,No junction,Dry,Night,Raining,2,1,Female,Overtaking,Fatal injury
Wednesday,31-50,Female,Train,Office areas,Concrete barriers,No junction,Dry,Night,Raining,2,1,Male,No distancing,Fatal injury
Friday,31-50,Male,Aeroplane,Highways,Grass medians,No junction,Moist,Daylight,Raining,1,2,Female,Overspeed,Fatal injury
Friday,31-50,Male,Cycle,Office areas,Concrete barriers,No junction,Moist,Night,Raining,1,2,Male,No distancing,Fatal injury
Wednesday,Under 18,Male,Taxi,Industrial areas,Concrete barriers,Crossing,Moist,Night,Raining,1,1,Female,No distancing,Fatal injury
Monday,Under 18,Male,Cycle,Office areas,Grass medians,No junction,Dry,Night,Raining,2,1,Male,Overloading,Fatal injury
Monday,Under 18,Male,Aeroplane,Highways,Grass medians,No junction,Dry,Night,Raining,2,1,Female,Overtaking,Fatal injury
Friday,18-30,Male,Lorry,Highways,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Male,No distancing,Fatal injury
Friday,31-50,Male,Lorry,Office areas,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Male,Drunk driving,Fatal injury
Thursday,Over 51,Male,Lorry,Highways,Concrete barriers,O Shape,Dry,Night,Raining,2,1,Male,Overspeed,Fatal injury
Thursday,Under 18,Female,Train,Office areas,Speed breaker,O Shape,Dry,Night,Raining,2,1,Male,Moving Backward,Fatal injury
Wednesday,31-50,Male,Lorry,Residential areas,Speed breaker,O Shape,Dry,Night,Raining,2,2,Male,Drunk driving,Fatal injury
Wednesday,18-30,Male,E-Bike,Industrial areas,Concrete barriers,O Shape,Dry,Night,Raining,2,2,Male,Moving Backward,Fatal injury
Wednesday,18-30,Male,E-Bike,Highways,Speed breaker,O Shape,Dry,Night,Normal,2,2,Female,Overloading,Fatal injury
Thursday,Under 18,Male,Taxi,Highways,Grass medians,O Shape,Moist,Night,Snow,2,2,Female,Overspeed,Fatal injury
Thursday,31-50,Male,Taxi,Highways,One way,O Shape,Moist,Night,Snow,2,2,Male,Drunk driving,Fatal injury
Thursday,Over 51,Male,Cycle,Highways,Concrete barriers,Crossing,Moist,Night,Cloudy,3,2,Male,Overspeed,Fatal injury
Thursday,31-50,Male,E-Bike,Highways,Grass medians,Crossing,Moist,Night,Cloudy,3,2,Female,No distancing,Fatal injury
Thursday,31-50,Male,Cycle,Office areas,Concrete barriers,Crossing,Moist,Night,Cloudy,3,2,Male,Overspeed,Fatal injury
Friday,Under 18,Male,Train,Office areas,Double carriageway ,Crossing,Dry,Night,Normal,2,1,Female,Overspeed,Fatal injury
Friday,31-50,Male,Public,Highways,Concrete barriers,Crossing,Dry,Night,Normal,2,1,Male,Drunk driving,Fatal injury
Thursday,Under 18,Male,Taxi,Highways,Grass medians,No junction,Dry,Daylight,Cloudy,2,1,Female,Overloading,Fatal injury
Thursday,Over 51,Male,Cycle,Highways,Grass medians,No junction,Dry,Daylight,Cloudy,2,1,Female,Overloading,Fatal injury
Friday,Under 18,Male,Aeroplane,Highways,Grass medians,No junction,Dry,Daylight,Snow,1,1,Male,Overloading,Fatal injury
Saturday,18-30,Male,Lorry,Industrial areas,Concrete barriers,Y Shape,Dry,Night,Cloudy,2,1,Female,Overloading,Fatal injury
Saturday,18-30,Male,E-Bike,Office areas,Grass medians,Y Shape,Dry,Night,Cloudy,2,1,Female,Moving Backward,Fatal injury
Wednesday,31-50,Male,Taxi,Market areas,Grass medians,No junction,Dry,Night,Normal,2,1,Female,No distancing,Fatal injury
Wednesday,Over 51,Male,Lorry,Highways,Grass medians,No junction,Dry,Night,Normal,2,1,Female,Overspeed,Fatal injury
Tuesday,Under 18,Male,Lorry,Highways,One way,No junction,Dry,Daylight,Normal,2,1,Male,No distancing,Fatal injury
Tuesday,18-30,Male,Train,Office areas,Grass medians,No junction,Dry,Daylight,Normal,2,1,Male,Overspeed,Fatal injury
Wednesday,Under 18,Female,Public,Highways,Speed breaker,No junction,Dry,Night,Cloudy,2,1,Female,No distancing,Fatal injury
Wednesday,Under 18,Male,Public,Highways,Speed breaker,No junction,Dry,Night,Cloudy,2,1,Male,No distancing,Fatal injury
Thursday,Under 18,Female,E-Bike,Highways,Concrete barriers,O Shape,Moist,Night,Normal,2,1,Male,No distancing,Fatal injury
Thursday,18-30,Male,E-Bike,Highways,One way,O Shape,Moist,Night,Normal,2,1,Male,Overloading,Fatal injury
Monday,18-30,Male,E-Bike,Highways,Concrete barriers,Crossing,Dry,Night,Cloudy,2,1,Female,No distancing,Fatal injury
Monday,31-50,Male,Aeroplane,Residential areas,Concrete barriers,Crossing,Snow,Night,Cloudy,2,1,Male,Overspeed,Fatal injury
Thursday,Under 18,Male,Public,Office areas,Concrete barriers,No junction,Snow,Daylight,Normal,2,1,Male,Overtaking,Fatal injury
Thursday,18-30,Male,E-Bike,Highways,Concrete barriers,No junction,Snow,Daylight,Normal,2,1,Male,Moving Backward,Fatal injury
Wednesday,18-30,Male,Train,Office areas,Concrete barriers,No junction,Snow,Daylight,Normal,2,1,Male,Overspeed,Fatal injury
Wednesday,Under 18,Female,E-Bike,Highways,Concrete barriers,No junction,Snow,Daylight,Normal,2,1,Female,Overtaking,Fatal injury
Tuesday,18-30,Male,E-Bike,Highways,Grass medians,No junction,Snow,Daylight,Normal,1,1,Female,Overspeed,Fatal injury
Tuesday,31-50,Male,E-Bike,Office areas,Concrete barriers,Y Shape,Snow,Night,Normal,1,1,Female,No distancing,Fatal injury
Monday,Over 51,Male,Cycle,Highways,Concrete barriers,No junction,Snow,Daylight,Normal,1,1,Male,No distancing,Fatal injury
Monday,31-50,Male,Cycle,Highways,Concrete barriers,Crossing,Snow,Daylight,Normal,2,2,Male,Drunk driving,Fatal injury
Monday,31-50,Male,Taxi,Market areas,Concrete barriers,Crossing,Snow,Daylight,Normal,2,2,Female,No distancing,Fatal injury
Tuesday,Under 18,Male,Aeroplane,Highways,Double carriageway ,No junction,Snow,Daylight,Normal,2,3,Male,Drunk driving,Fatal injury
Tuesday,18-30,Male,Taxi,Market areas,Grass medians,No junction,Snow,Daylight,Normal,2,3,Female,Moving Backward,Fatal injury
Tuesday,18-30,Male,Aeroplane,Residential areas,Double carriageway ,No junction,Snow,Daylight,Normal,2,3,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,Train,Office areas,Concrete barriers,No junction,Snow,Daylight,Normal,2,3,Female,Overtaking,Fatal injury
Tuesday,18-30,Male,Taxi,Office areas,Grass medians,No junction,Snow,Daylight,Normal,2,3,Male,Overtaking,Fatal injury
Saturday,Under 18,Female,Lorry,Highways,Concrete barriers,No junction,Snow,Night,Cloudy,1,1,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,Lorry,Residential areas,Grass medians,Y Shape,Snow,Night,Normal,2,1,Female,No distancing,Fatal injury
Tuesday,Over 51,Male,E-Bike,Office areas,Speed breaker,Y Shape,Snow,Night,Normal,2,1,Male,Overloading,Fatal injury
Sunday,Under 18,Female,E-Bike,Residential areas,One way,Y Shape,Dry,Daylight,Normal,2,1,Male,Overloading,Fatal injury
Sunday,18-30,Male,Taxi,Highways,Concrete barriers,Y Shape,Dry,Daylight,Normal,2,1,Male,Moving Backward,Fatal injury
Wednesday,31-50,Male,Taxi,Highways,Concrete barriers,No junction,Moist,Daylight,Normal,1,1,Male,Drunk driving,Fatal injury
